Tweet ID,Tweet_count,Username,Text,Created At,Retweets,Likes,User Bio,Follower Count,Following Count,Replies,Location,Age,Gender,Hashtags
1597742174804013056,1,Joe Duffany 🇺🇸,@Brye325 @julie_kelly2 Hilarious from a vet who served during two lost wars. Republicans hate vets that lose wars. “Why should I go to that cemetery? It’s filled with losers.”-Trump #loser #maga,Tue Nov 29 23:59:53 +0000 2022,0,0,2021 Model 3 Performance | 2025 Model Y Performance |                    Antifa Supersoldier #bitcoin #Tesla,57,417,1,Unknown,Unknown,Unknown,"['loser', 'maga']"
1597742171456618498,2,D. Staples,"'Anti-woke' MAGA bank is shutting down after mismanagement, general sucking https://t.co/D70ZbCSD9s #Conservatives #Republicans #MAGA #edGloriFied",Tue Nov 29 23:59:52 +0000 2022,0,0,,246,29,0,Unknown,Unknown,Unknown,"['Conservatives', 'Republicans', 'MAGA', 'edGloriFied']"
1597742124229079040,3,Resisting PerSister - done with weapons of WAR,"#GOP and #MAGAts like send out tweets about Biden and the economy. They tweeted when gas prices were UP. What about gas prices NOW?  
@GOPHouse @GOP @SenateGOP https://t.co/C2mRGJv6mi",Tue Nov 29 23:59:41 +0000 2022,4,5,Retired elected municipal official & FEMA contractor #FBR after vetting #Indivisible #Resistance #persist #PTSD Survivor #BlueSky Threads same handle.,8899,9876,1,Cape Cod & I love this group:,Unknown,Unknown,"['GOP', 'MAGAts']"
1597742108135522304,4,Happy...Loved...GRATEFUL!,"What #democRATS' motto should be is ""don't believe your lyin' eyes""..u should believe what they tell u is true - meanwhile the #1 qualification to even BE #democRAT is to know how to tell #lies well.  #Georgiavoters need to #voteherschel - a vote for #Warnock is a vote for Biden.",Tue Nov 29 23:59:37 +0000 2022,0,1,"❤️GOD, my HUSBAND, my ANIMALS..& TRUMP!  DOGS R4 LOVING NOT EATING #dogmeattrade. To #democRATS:  STOP DOING EVERYTHING U CAN TO MAKE LIVES OF AMERICANS WORSE!",3538,3762,0,United States,Unknown,Unknown,"['democRATS', '1', 'democRAT', 'lies', 'Georgiavoters', 'voteherschel', 'Warnock']"
1597741952073871363,5,JC Yoo,"@JoJoFromJerz And who do we have to thank?  Ironically, the Republicans!  Let all of America thank the #GOP today.  God bless America.  USA. #USAvsIran #FIFA23",Tue Nov 29 23:59:00 +0000 2022,0,0,Ipsa Scientia Potestas Est,90,156,0,"Berkeley, CA",Unknown,Unknown,"['GOP', 'USAvsIran', 'FIFA23']"
1597741739464224768,6,"TinaMarie🌴🌊 Mom, Music 🤘🎸☮️🌈♥️ Animals 🐈🐕🐇","@LindseyGrahamSC
You support this lunatic? You are using him for his ""yes"" vote. You know he is not qualified.
#GOP has no bottom 😡
#VoteWarnockForGeorgia
#VoteBlueGA
Herschel Walker says 'we need to get rid of the government' to enact his energy plan https://t.co/5nr8Hw3AKG",Tue Nov 29 23:58:09 +0000 2022,0,0,"#Resisters
#TrumpIsACriminal
#BanYulin
#GunReform
#Ukraine🇺🇦
#BonnieRaitt❤️
#LedZeppelin🤘
#TaylorSwift🎶
#NYGiants🏈
#NYMets⚾
#Ukraine🇺🇦",11699,12521,0,Unknown,Unknown,Unknown,"['GOP', 'VoteWarnockForGeorgia', 'VoteBlueGA']"
1597741462199750656,7,George R,"#leftist cry babies. They preach tolerance, but really hate free speech. #Democrats threaten to quit #twitter, but here they are. https://t.co/jjuGPmXuxN",Tue Nov 29 23:57:03 +0000 2022,0,0,"Christian 🇺🇸 Citizen, Husband & Father of 3
Pro-life/Family Values/2A/Constitution & Individual Rights
Anti-leftist/fascist/socialist/Communist & Vax mandates",124,165,0,NJ,Unknown,Unknown,"['leftist', 'Democrats', 'twitter']"
1597741336211648512,8,Aubrey Shines,"DEMS FEAR LOSING BLACK VOTERS TO THE GOP... Check out my recent show here: https://t.co/d07fVc4zX9
#Democratic #Voters #GOP #Truth #History https://t.co/KiykQX0Tth",Tue Nov 29 23:56:33 +0000 2022,0,0,"Father, Spiritual Leader, Author & Host of 'America Shines with Aubrey Shines' Saturdays @ 9AM EST on https://t.co/5VqoRo2rhD
RT's do not equal endorsements",2494,101,0,Unknown,Unknown,Unknown,"['Democratic', 'Voters', 'GOP', 'Truth', 'History']"
1597741091025227777,9,b,#GOP in disarray...as usual,Tue Nov 29 23:55:35 +0000 2022,0,0,Sports. Politics. Books. Film. #Birdland baseball. #LasVegas. He/him.,197,1308,0,"Las Vegas, NV",Unknown,Unknown,['GOP']
1597740998762926080,10,Mr.Prince Sahani,Philadelphia Wawa Robbed by Man Armed With a Needle (VIDEO) #politics https://t.co/zr0hYejOKF,Tue Nov 29 23:55:13 +0000 2022,0,0,"I'm Professional Trader. 
Founder & CEO of Upcoming News",46,170,0,Unknown,Unknown,Unknown,['politics']
